rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
63.2609,50.3624,40.6807,41.7872,30.3619,19.7193,49.1889,35.2554,36.4738,49.6523,76.4039,97.5228,98.789,102.941,104.566,101.638,86.819,67.2875,61.9821,63.7845,88.4812,114.855,118.487,123.737,104.981,127.275,119.006,125.402,117.958,124.377,124.513,130.654,113.5,122.002,129.064,119.474,140.91,150.386,125.941,122.291,123.926,119.025,127.794,149.706,132.354,137.005,120.688,125.896,121,122.253
63.6486,50.6003,40.3044,41.2818,32.7043,22.1985,52.4571,38.9225,39.5054,51.903,78.3125,99.133,100.85,105.441,107.656,103.672,91.7633,72.7925,68.4638,69.8054,92.6376,119.077,122.405,127.726,107.652,131.861,123.591,129.85,122.126,130.424,129.321,135.98,118.496,125.271,134.5,124.026,144.967,156.103,130.205,126.838,127.935,123.297,131.686,154.944,137.576,142.451,126.225,129.841,125.06,127.934
56.8531,43.3886,34.2744,37.5177,30.4127,21.419,56.1788,39.6083,38.0606,49.4597,76.1999,96.7942,96.0342,101.809,103.715,99.9192,85.5562,66.4242,61.6347,63.2695,89.0534,114.914,120.016,123.937,106.962,128.995,122.729,127.562,119.323,128.433,127.752,134.233,118.223,123.814,134.427,123.385,144.857,157.676,127.896,125.997,127.815,122.855,132.105,152.267,138.802,141.522,124.875,131.823,127.204,125.631
56.5195,44.8869,37.1849,40.5336,33.3519,21.6976,51.5976,35.5106,34.8688,49.4918,75.4333,95.5174,95.6103,100.386,103.609,100.157,86.5106,63.8427,58.4213,60.5582,86.0841,112.862,116.819,121.013,104.248,125.968,119.766,125.427,116.792,125.44,125.954,131.603,114.282,121.652,131.589,121.15,141.288,155.061,125.687,121.658,124.274,119.807,130.116,150.255,135.563,138.492,122.435,129.998,125.597,122.735
58.3382,45.2228,38.1554,42.2329,32.9526,23.3741,56.6324,38.0096,36.2207,53.4262,80.4735,100.867,101.363,107.232,109.396,104.604,93.0981,69.9665,65.8589,68.7239,95.3865,119.426,124.275,127.996,112.924,133.466,127.109,133.437,128.061,135.636,132.983,140.816,122.096,129.377,136.905,129.124,149.2,165.57,138.555,130.897,134.327,129.654,139.613,163.056,144.372,150.15,127.561,138.972,136.422,131.788
62.8201,46.7631,39.1678,42.9077,35.2393,24.4008,54.7451,32.7569,31.806,54.1355,84.3641,103.691,107.97,111.936,112.041,109.68,96.3003,69.7575,62.5409,68.2618,97.3728,123.867,126.627,130.67,111.933,134.817,129.336,135.926,132.153,136.334,136.691,139.184,123.066,132.006,138.058,130.248,151.29,169.079,139.49,131.959,133.625,128.259,139.544,166.272,145.911,155.71,130.098,141.403,137.95,134.128
57.3365,42.0095,32.5299,34.748,31.3347,24.1689,57.3626,37.5756,37.2143,54.4192,78.4024,98.5476,100.779,103.538,105.032,101.558,87.0868,65.1863,61.9334,68.4608,93.515,120.577,123.231,126.632,109.009,131.176,123.407,132.909,126.751,131.822,132.713,137.321,119.448,127.499,134.379,125.132,147.918,161.319,134.115,128.454,130.949,124.691,134.779,162.106,141.742,151.526,125.687,135.635,134.933,130.921
59.1666,44.6291,36.4845,37.8541,33.3366,23.7577,55.018,35.77,35.2756,53.7153,78.2115,98.1035,100.813,103.313,106.29,102.923,90.3122,67.09,62.6158,67.2462,91.1125,119.494,122.391,125.705,109.993,128.804,121.725,130.437,126.982,131.209,132.589,137.06,119.887,128.34,134.671,125.021,147.464,159.016,132.717,127.923,131.26,124.708,133.75,160.979,141.36,150.675,126.336,132.973,131.98,128.41
66.9401,51.0676,44.941,50.8346,43.4349,26.4432,53.9194,33.0959,32.6059,55.7909,85.2908,107.19,114.397,116.094,120.875,117.921,105.3,78.2382,69.5158,72.7978,101.031,135.413,138.73,140.292,122.719,147.318,139.153,147.614,138.871,144.686,146.601,153.05,133.706,141.55,151.306,139.155,160.633,177.354,146.916,138.88,146.508,134.18,147.118,177.512,159.843,168.797,138.976,146.924,144.55,146.156
65.4906,52.1344,46.3602,47.9777,41.3081,26.4226,58.4552,36.9041,35.1271,52.7364,79.7887,106.042,114.488,113.676,120.979,114.26,106.58,80.7382,75.2433,73.5445,97.2757,133.729,138.741,138.384,122.433,150.167,143.159,152.348,139.787,145.048,146.259,157.011,133.767,142.601,154.216,141.578,165.455,182.332,147.984,140.203,147.025,136.992,148.945,180.691,161.92,172.102,140.824,150.991,151.297,149.19
