ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
3143.21,0.713994,0.199888,0.199888,761.452,137239,0.4993,0.735, 36764.4,25033.1,5555.73,0.119933,0.0956364,0.00586538,4012.23,324.21
3356.3,0.719839,0.199888,0.199888,774.628,150.342,0.500523,0.735, 39256.7,26595.2,5941.2,0.119933,0.0925975,0.00540499,4387.48,327.007
3315.74,0.717812,0.199888,0.199888,762.553,44.2348,0.504498,0.735, 38782.4,26319.8,5866.38,0.119933,0.0932185,0.00531111,4360,327.601
3491.49,0.754969,0.199888,0.199888,763.579,87.1596,0.510345,0.735, 40838,26860.5,6235.37,0.119933,0.109284,0.00571759,3886.93,325.958
3540.28,0.757494,0.199888,0.199888,771.914,474.202,0.505069,0.735, 41408.7,27179.4,6326.46,0.119933,0.105167,0.00546481,4054.72,328.018
3244.57,0.77658,0.199888,0.199888,789.717,1.84429,0.512318,0.735, 37950,24527,5825.34,0.119933,0.103022,0.00505164,4355.32,325.859
2998.13,0.82464,0.199888,0.199888,820.824,25092.4,0.52437,0.735, 35067.4,21828,5445.31,0.119933,0.104896,0.00463574,5042.94,327.237
2924.78,0.780661,0.199888,0.199888,814.23,28824.2,0.533528,0.735, 34209.5,22037.5,5256.41,0.119933,0.0956139,0.00458843,5024.22,328.12
2951.46,0.776792,0.199888,0.199888,812.439,993.649,0.529455,0.735, 34521.5,22307.4,5299.35,0.119933,0.0961567,0.00471318,4660.29,327.822
2880.47,0.782744,0.199888,0.199888,804.221,1.1475e+006,0.526653,0.735, 33691.3,21667.6,5179.41,0.119933,0.10133,0.00486523,4403.92,329.896
2783.88,0.766419,0.199888,0.199888,826.897,2.66585,0.534549,0.735, 32561.5,21217.5,4985.77,0.119933,0.082579,0.00438363,4672.45,331.169
2828.31,0.749035,0.199888,0.199888,822.973,3.15796,0.527877,0.735, 33081.1,21865.4,5043.55,0.119933,0.0819868,0.00423828,4764.85,332.67
2634.06,0.867725,0.199888,0.199888,857.384,1486.14,0.510789,0.735, 30809.2,18566.1,4832.05,0.119933,0.093223,0.00379601,5798.25,332.876
2806.87,0.897326,0.199888,0.199888,883.977,126.886,0.516373,0.735, 32830.5,19358.5,5183.47,0.119933,0.100234,0.00344334,6789.3,335.877
2930.02,0.810433,0.199888,0.199888,845.723,46081.5,0.517772,0.735, 34270.8,21566.6,5303.74,0.119933,0.0864967,0.00367819,5924.72,339.609
