rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
145909,24.9707,8721.9,43049.2,1312.81,6323.32,982.42,96105.8,4569.62,16525.7,432.576,29252.3,9838.65,3894.24,3443.12,65379.6,363.601,36553.6,12759.8,5254.43,44249,1256.17,4511.23,4667.29,49382.6,123.787,29346.3,106314,4338.59,476.801,3847.18,42769.4,1776.29,103.255,19045,1637.1,14475.2,4216.13,1512.55,9247.67,7666.82,8417.18,3061.14,2706.19,28068.6,0.256085,30.5065,1098.3,1710.89,1928.94,26277.7,100.687,5713.57,207.287,5208.58,27843.2,0.0123365
150741,21.9913,8522.56,43491.2,1241.93,6544.51,983.383,91803.9,4554.13,15888.1,456.007,28844.9,11655.8,3563.96,3421.5,75950.1,384.023,29365.7,12862.6,5537.37,47398.2,1210.8,4760.13,4432.18,53251.2,120.377,30286.3,97031,4328.13,495.549,4181.01,44113.6,1701.94,100.992,19720,1625.79,14306.6,4177.8,1507.13,8242.65,8068.37,7969.49,3133.64,2527.38,27831.3,0.26109,29.8788,1182.28,1709.99,2016.48,25720.1,98.1857,5749.27,222.348,5205.95,27711.7,0.0119838
150380,19.6217,8541.34,43197.3,1277.37,6030.51,1057.61,94562.9,4229.76,15457.7,457.755,27120.3,11891.7,3676.04,3440.79,77280.4,398.569,28529.7,13190.5,5352.15,51719.3,1212.82,4432.01,4569.84,46418.7,166.317,28093.7,103369,4419.93,430.41,4861.57,42429.1,1683.75,100.437,21016.7,1816.68,14528.3,3619.76,1626.39,7429.52,8814.6,7212.2,3671.57,2538.45,28449.6,0.293839,29.1725,1161.01,1685.37,1995.06,23952.7,114.635,5664.3,195.322,4304.71,29964.7,0.0108413
152438,26.4259,7619.1,45731.4,1312.12,6078.32,1087.97,97981.1,3495.89,15840.7,602.708,24795.6,10648.8,3434.87,3522.22,76598.7,347.485,28857.8,13597.1,5668.35,44931.3,1214.89,5276.82,3901.79,48403,173.601,27721.1,103181,4514.22,378.068,7079.8,37454.2,1777.15,97.1049,20771.8,1486.43,15446.8,3773.06,1665.15,7249.68,8658.94,7508.02,3707.29,2519.31,29082,0.239479,33.0978,1130.98,1791.49,1969.83,24517.3,111.541,5376.77,176.401,4215.45,31205.2,0.0112908
150701,28.4218,7904.2,38887.5,1382.44,5779.33,1198.53,97746.8,2848.21,14206.4,671.705,26050.9,10991.9,3438.56,3539.81,74385.5,318.781,30127.8,16212.2,5498.27,37539.4,1250.39,5087.91,3657.92,49621.9,230.305,24513.9,105218,4507.75,400.101,7326.35,37519.8,1750.33,98.326,19921,1882.75,13959.6,4776.51,1265.17,6619.91,9171.79,7790.61,3729.63,2392.27,28974.5,0.226684,35.8495,1110.11,1556.9,2250.24,24174.1,115.702,4676.4,186.463,4610.31,32255.5,0.00968799
149190,36.07,7554.92,40084.1,1347.91,5524.98,1243.55,100019,2783.1,13774.6,833.612,23735.8,10544.2,3510.92,3459.71,70962.3,359.642,30482.8,14771,5650.09,42407.9,1184.62,6410.97,3572.9,43128.7,272.723,24189.1,113079,4618.12,328.096,9924.92,37773,1723.15,99.0559,20276.9,1872.07,14141.6,4940.48,1357.28,5723.81,8928.04,7760.94,3595.12,2072.63,28202.4,0.230319,33.3778,1027.83,1447.74,2131.84,23989.3,102.678,4771.59,190.22,4249.42,30903.8,0.00985931
153073,31.1499,7215.83,41827.9,1385.95,5491.5,1231.24,97761.2,2702.96,14537.7,743.215,24687.2,9939.2,3542.79,3503.77,73100.7,344,29999.7,14715.5,5707.34,41461.2,1143.31,7183.3,3506.47,47706.9,254.75,22988.7,111787,4563.08,344.956,11396.1,33907.8,1722.99,100.436,20161.5,2134.22,13589.2,4952.05,1454.87,5047.06,8878.51,7769.12,3702.94,2089.3,28444.6,0.247959,36.5338,1023.54,1439.45,2051.13,23150.2,111.842,4465.91,197.079,4423.03,32133.3,0.00875435
147076,37.8914,6705.58,41204.8,1476.01,5441.53,1230.12,92539.8,2616.51,15800.6,512.842,26004.9,9487.84,3340.77,3471.91,70189.5,341.148,29561.9,17046.5,5378.78,40750.5,1164.09,7184.23,3618.52,46139.4,212.875,23002.7,107729,4410.14,391.535,14837.4,30641.5,1800.8,101.489,19258.6,2070.46,14672.8,4713.08,1566.01,5579.08,8422.95,8055.23,3163.26,1758.53,28493.5,0.248323,46.6017,1014.81,1373.14,2009.29,23485.7,119.376,4392.33,191.646,5118.93,31471.8,0.00890469
150993,31.5418,7102.61,44046.5,1437.4,5337.93,1237.8,95582.4,2684.53,15159.5,536.095,26374.8,9767.8,2987.89,3473.08,63691.6,365.492,32506.6,17154.5,5319.79,43772.4,1149.46,7335.93,3623.9,44463.5,218.398,22830.2,113555,4378.74,433.13,13710.1,30921.8,1907,82.5832,20542.1,2055.18,14620.8,4626.33,1668.76,5195.8,8373.72,8207.55,3041.27,1895.84,28648.3,0.22686,51.2829,949.804,1357.91,1958.9,24435.3,102.933,4184.29,194.866,5235.13,31946.2,0.0102266
144479,40.7028,7085.67,45584.5,1348.28,5705.26,1209.93,93342.2,2648.33,15134.3,508.582,26057.3,9560.18,2857.97,3469.19,66746.4,347.856,35000.8,18854.9,5614.67,39259.7,1131.7,7796.05,3479.3,43894.5,246.113,22119.8,107367,4485.9,401.048,13162.3,30271.5,1830.85,80.0883,21756.3,2001.15,12622.3,4713.32,1773.2,4915.93,7882.02,7966.97,3643.45,1698.55,28381,0.246299,53.2361,898.016,1346.34,1941.51,24164.2,94.3105,5225.67,181.357,5734.53,30055,0.0101766
142661,38.8685,7844.3,41156,1399.47,5500.16,1237.44,95230.5,2623.96,14486.4,533.225,28142.3,9995.72,2725.17,3501.53,63797.8,340.355,31939.2,20618,5537.69,39318.8,1128.61,8557.27,3267.81,41773.3,242.01,23052.5,106339,4549.59,381.116,13538.8,31576.2,1810,80.131,21921,1786.95,13424,4725.09,1699.46,5128.56,8586.36,7541.38,3386.59,1984.35,27987.8,0.207744,51.9298,838.801,1494.41,1855.11,24219,88.516,4844.81,213.931,5785.12,29459.1,0.0113162
143746,32.1704,8027.2,45943.7,1364.41,4768.01,1364.66,94681,2259.53,16640.1,572.025,24602.4,12382.4,2547.65,3599.21,66148.5,303.353,32075.6,20691.7,5438.65,42161.1,1107.55,8424.74,3687.64,37966.3,231.685,22546.4,113298,4681.54,351.828,15183.3,31104.2,1912.73,77.591,20780.9,2301.84,11625.8,5139.5,1556.23,6080.23,7772.4,7202.03,3551.69,2184.64,27964.8,0.238599,41.443,857.992,1528.37,2027.74,24703.4,90.1589,4857.31,193.601,6443.46,28882.1,0.00842534
136385,43.2724,7245.79,44440.5,1387.72,4859.48,1322.96,93859.8,2567.67,14997.4,670.192,25877.7,12225.2,2363.07,3567.14,68299.2,322.304,27227.2,20155.4,5468.45,41586.5,1189.6,5888.3,3785.54,42397.4,218.403,21657.2,110528,4663.89,406.574,11319.7,30561.2,1860.62,74.5421,20877.2,2289.71,12763.6,5164.14,1540.88,6488.13,7316.14,7247.9,3542.44,1827.62,28374.8,0.249716,39.3004,930.881,1706.53,2109.67,24433.9,95.1605,5319.27,210.838,6081.96,27538,0.00897247
142038,37.8287,7359.98,43557.5,1461.1,4750.93,1349.4,90874,2513.18,15483.2,613.538,23017.8,14395,2155.84,3581.85,68436.1,322.104,27581.8,19343.7,5597.72,43085.1,1141.71,8044.52,3423.89,45506.6,220.657,21613.5,108500,4606.55,423.881,11125.6,38396.8,1875.62,69.9906,20676.7,2095.2,11622.5,5450.25,1633.14,6452.62,7062.94,8015.92,3176.9,2035.29,28132.1,0.23132,40.7817,1025.84,1692.43,2380.72,25543.6,88.9456,5334.55,216.557,4974.82,29656.1,0.00756036
142146,35.7162,6242.9,43002.6,1521.85,5170.1,1250.12,94018.7,2857.25,14386.2,745.289,22552.4,16691.4,2166.67,3515.58,65662.5,314.423,29081.5,19647.1,5527.64,42327.6,1172,8815.09,3171.19,46318.6,223.955,21577.3,105868,4546.15,489.412,7987.35,42321.5,1671.62,89.0596,18134.9,2587.91,11031.1,6108.6,1543.21,6193.59,7239.02,9023.8,2702.26,2070.2,29109.2,0.182042,39.322,969.356,1711.12,2295.26,25503.1,72.459,6036.85,199.042,3937.26,32100.1,0.0103635
143098,31.0182,6298.75,40631.8,1738.11,4723.01,1274.58,93410.6,3282.12,14493,570.839,23775.7,16839.3,2158.58,3500.45,63569.3,333.817,24519.4,20376,5503.78,35456.4,1126.2,12048.8,3006.83,47725.3,222.578,19798.2,121128,4770.15,362.108,8931.74,42785.8,1613.25,113.078,16567.1,2594.75,10610,6089.72,1617.62,5517.88,7227.34,9017.42,2488.01,1795.59,30131.4,0.195117,39.8951,959.749,1828.02,2259.19,25791.3,76.8,5409.83,238.707,4586.24,32843.2,0.0113177
138369,27.2392,7702.71,39739.6,1791.74,4314.86,1351.9,98057.2,3153.47,13889.6,617.909,25467.7,15769.1,2460.62,3395.05,67121.1,347.586,26500.2,19970.7,5572.18,34810.3,1084.14,13089,3389.46,42136.1,240.388,18986.3,118609,4499.91,482.416,7594.56,36818.4,1564.93,123.862,16465.9,2404.25,10486.4,6564.78,1465.44,5934.58,7294.24,8736.69,1952.62,2085.51,29856.3,0.195574,41.6726,799.169,1925.03,2404.55,26012.5,83.5348,5308.76,220.188,4151.8,32255.9,0.0103696
141815,26.0729,9539.59,34706.4,1708.92,4477.31,1341.7,93005.1,2803.65,14182,716.759,25879.1,18176.6,2336.18,3413.89,55871.6,320.511,31309.1,18385.7,5897.05,34727.8,1100.36,13439.9,3047.88,50285.5,245.234,18249.1,110336,4588.62,415.618,9286.98,41824.7,1595.86,133.742,15322,2053.89,12103.6,6146.96,1569.6,5893.3,6840.25,9176.1,2003.8,2073.31,30253.6,0.227739,39.7721,741.639,1970.26,2409.98,24467,101.34,5969.94,180.189,4079.52,32808,0.00746834
142863,24.5123,8804.24,39359.1,1644.79,4474.07,1340.37,95050.5,2918.65,13589.8,762.057,26129.9,17734.9,2220.73,3422.28,62641.5,320.84,30117.2,17837.7,6351.37,28926.5,1029.72,16457.9,3192.58,45924.4,281.309,19062.2,109566,4428.43,482.383,8497.81,43122.7,1607.97,120.938,16397.3,1781.59,11644.8,6210.82,1666.49,5412.75,6763.04,9190.05,1924.6,1962.04,30263.2,0.222148,37.7411,737.555,2017.08,2387.37,26579.8,91.6694,6149.04,195.203,4192.64,31063.8,0.00844734
133603,24.3846,8391.18,46595.6,1441.55,4578.8,1361.62,95593.5,3102.93,12859.5,597.023,26004,19199.5,2145.96,3403.14,56448.3,309.939,38481.1,15596.3,7052.67,31659.6,1012.92,14946.8,3260.43,47030.7,234.555,21312.8,101736,4326.96,498.062,10444.7,43455.5,1546.46,131.807,15932.5,1640.93,13714,5978.22,1695.54,4827.27,7530.87,8427.73,1905.64,1876.31,30707.1,0.216742,51.4755,650.134,2105.56,2377.22,27336.2,74.6053,7094.39,178.359,3956.58,34051.5,0.00750954
135592,23.5896,9568.85,46518.6,1456.46,4650.46,1323.67,91127.2,3131.38,14087.2,546.255,23489.7,21742.6,2309.32,3475.56,55335.3,282.275,35239.6,16439.9,6594.32,35773.8,1045.37,14891,3277.81,45628.7,215.967,21844.9,103134,4333.19,496.064,10261.3,43408.1,1583.34,134.138,15459.3,1565.21,14599,6036.66,1567.74,5439.68,7647.4,7989.03,2143.91,1647.51,30456.8,0.23635,50.0639,581.065,2050.88,2558.05,27365.8,74.8619,7426.26,194.006,3932.83,33189,0.00692644
140889,19.6156,9433.92,45386.3,1396.63,4651.46,1378.81,94647.1,2753.35,14241.8,581.852,21415.7,23018.5,2217.94,3581.24,55983.5,250.167,33001.3,16361.6,6667.47,39959.7,1073.46,11755.7,3678.24,43321.8,219.267,20622.8,107295,4397.83,466.499,11809.3,41666.1,1584.47,141.994,14533.7,1914.97,12855.9,6347.02,1609.31,5292.78,8373.91,7941.13,1955.18,1609.94,31206,0.277327,52.4173,531.241,2126.1,2516.44,28957.3,65.1662,8342.46,204.514,4284.6,32014.7,0.00674245
134838,20.4135,9107.74,43658.1,1402.26,4804.92,1370.48,95202.2,2682.19,14243.3,642.972,22143.7,20863.4,2200.71,3538.89,56361.6,272.425,32336.5,15146.3,6721.64,41696.4,1072.41,11386.2,3919.68,40395.3,215.068,19336.2,116833,4426.87,445.096,12461.7,45385.7,1492.82,156.757,14012.3,1935.84,13047.4,6797.22,1458.59,5890.93,7832.18,8301.25,1872.72,1699.97,31086.6,0.285938,51.0065,542.008,2016.21,2690.08,27518.3,66.6052,8327.01,177.571,4410.02,32206.7,0.00622764
