sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
10.4878,9.24355,7.79203,6.32412,5.60863,14.267,11.9438,6.31944,4.91974,8.13677,13.6012,18.1893,19.9077,19.9445,19.4698,21.7275,18.2201,15.2128,12.2701,10.7482,14.7629,20.752,25.8489,29.805,33.8003,37.4973,40.6669,42.1172,43.0451,43.8726,45.0398,48.657,49.5327,49.006,51.1422,54.7329,60.1153,65.4956,68.8919,69.638,70.7813,68.7392,65.6318,58.9358,56.3491,51.1067,47.3313,43.8096,41.7989,44.0607,47.0522,48.4559
6.5323,5.24537,4.37287,4.8231,5.03779,14.1827,12.4764,6.68874,5.14448,6.5225,9.81868,13.2054,14.241,14.7983,15.5806,18.9707,16.6923,14.7973,12.4946,11.0241,14.5502,19.1827,22.3041,24.3384,27.2313,31.0286,34.8183,37.2464,39.0462,40.6999,42.9171,46.751,47.0486,45.5201,46.6823,49.7303,54.6522,60.0411,63.3441,63.95,65.0155,62.5997,59.8063,53.0754,49.9882,44.0776,40.0038,34.7262,31.5945,33.2952,36.2595,37.7218
6.17396,5.03814,3.78908,3.30818,3.81723,12.9861,10.7828,5.78919,4.69906,5.72744,8.49778,11.58,12.2361,11.9864,12.5659,16.5444,14.7432,12.7174,10.1231,8.56411,11.9994,16.7054,19.7354,21.5465,24.2471,27.9215,31.7585,34.0405,35.5694,36.8917,39.0452,42.8819,44.0094,42.5837,43.704,47.3351,52.44,58.6076,62.6937,63.6359,65.1471,62.9193,59.8993,53.7771,51.4879,46.0666,42.5697,38.349,35.2967,36.8668,40.4087,41.7635
9.04455,8.0336,6.72646,6.06312,5.98786,11.6089,8.85639,5.0835,5.10771,7.49213,11.3721,15.6546,17.9235,18.7115,18.9582,20.9283,15.9308,12.2554,9.91727,8.99559,13.0308,18.7274,23.1929,26.0458,29.6388,33.5176,36.4084,37.0238,36.8376,36.7911,37.8729,41.0554,41.8925,40.5358,42.0407,45.6915,50.4098,55.9666,59.2924,59.7801,61.111,59.3171,56.1223,49.2199,46.152,40.6069,36.7692,32.5022,29.3658,30.6506,34.2949,35.5476
6.30921,4.96209,3.87723,3.5602,4.56325,11.3095,8.54299,4.88707,4.59471,6.3302,9.33858,12.4281,13.4455,13.5168,14.1853,17.2954,14.1948,11.5947,9.68017,8.90309,12.9687,18.5908,22.5579,24.6018,27.5125,31.3083,35.1345,37.3786,38.6531,39.481,41.2065,44.6837,45.3529,43.6962,44.8293,48.1173,52.9545,59.0883,62.67,63.1114,64.2962,62.1533,58.8182,52.2222,49.7501,43.6901,39.1231,34.874,32.13,33.2417,36.07,37.4104
7.07084,6.07373,5.41901,4.94968,4.97345,11.5509,9.21538,5.24087,5.7177,7.76431,10.1752,13.2076,14.7156,15.4377,16.2226,18.9999,14.8496,12.3145,10.5519,9.64029,13.5711,18.7092,22.261,24.1579,26.9552,30.6604,33.873,35.6272,37.1308,38.6082,40.4224,43.3823,43,40.5913,42.2471,45.9652,50.7867,57.4815,61.4357,62.1742,63.4969,61.0394,57.5817,49.7452,46.7489,40.5344,35.8101,31.0248,28.3484,29.852,33.2542,34.659
8.47554,6.55822,5.02315,4.64126,5.06624,12.312,10.3275,6.01894,7.34573,12.6559,17.158,19.8426,19.808,18.7768,18.1293,19.4465,14.5216,12.0202,10.9042,10.7985,15.8327,21.8989,26.0309,28.1243,30.1477,32.5526,34.3142,34.5558,35.0439,36.2742,38.3857,41.6851,41.6193,39.6472,41.5809,45.2052,49.9282,55.788,58.2486,58.1034,58.5495,55.1735,51.3267,43.6647,40.7926,34.8417,30.2972,25.8378,23.7363,25.012,27.6716,28.9769
5.56088,4.81825,4.27058,4.04254,3.63698,10.5801,9.01679,4.93929,4.14978,7.50762,11.7045,14.2108,14.334,13.9192,14.0203,15.9934,11.8504,9.76322,7.94953,7.25924,11.4275,17.3882,21.4841,23.2056,25.2533,28.1821,30.7785,31.6223,31.9478,32.3819,33.8178,37.2427,38.0618,36.0101,37.5268,41.6861,47.5507,54.3517,57.3355,57.1044,57.481,54.3897,50.4495,41.6217,38.284,32.5375,28.3759,24.7589,23.5063,24.9416,27.3882,28.7385
7.37014,5.80935,4.41882,4.23072,3.80989,10.081,8.6755,5.07604,5.35169,8.49214,12.4206,15.834,16.2944,15.7096,15.3661,17.0528,11.6403,8.80208,6.98918,6.56797,10.9177,17.3532,22.1246,24.3146,26.6223,29.4325,31.6085,31.6166,30.9741,30.774,31.8524,35.704,37.1776,35.6239,37.6484,42.5795,49.0203,55.7307,58.7635,58.2366,58.1051,54.9864,50.7214,41.9858,38.915,33.6865,29.8162,26.0277,24.3885,26.0496,28.6062,30.0303
4.46074,2.96106,1.93978,1.76167,2.16979,8.87824,6.90146,3.8011,3.77819,9.41467,15.2657,17.2173,15.6559,13.5546,12.4801,14.1218,9.08346,6.77507,5.53946,5.88304,11.1629,18.2776,23.2724,25.4166,27.4041,29.7889,31.4622,30.9329,29.9371,29.9508,31.9079,36.8215,38.9733,37.8011,40.2559,45.4497,51.6924,58.1003,61.0345,60.66,60.1273,55.7705,50.9059,41.6573,38.6286,33.4436,29.7563,24.9718,22.4574,23.707,26.4202,27.8842
6.49506,4.36925,3.1372,3.10243,3.00921,9.09802,7.82005,5.3573,6.31777,11.9326,17.0079,18.5979,17.2745,15.574,14.6263,15.874,11.0323,8.54145,7.40319,7.77339,13.2356,19.9868,24.3985,26.3862,28.1481,30.1873,31.8611,31.4019,30.7518,31.3011,33.4252,38.2898,39.8552,37.8654,39.7295,44.73,50.7834,56.7155,59.4285,59.0976,58.3428,53.4267,48.2717,39.4895,36.7668,31.5493,27.753,23.4685,20.9374,22.053,24.6168,25.8641
7.29627,5.09326,3.64166,3.5209,3.72475,11.0023,9.65902,6.86531,6.83156,10.4989,14.9828,16.9975,16.2749,15.0582,14.5176,16.4203,12.6749,10.3582,9.20811,9.10406,14.2393,20.7258,24.8899,26.841,28.6652,31.0201,32.8984,32.8429,32.9167,33.8311,35.9312,40.5865,41.5553,38.8235,39.9879,44.5276,50.1067,55.4733,57.8419,57.649,57.1209,52.9407,48.582,40.8371,38.4625,32.9364,28.9101,25.3671,23.5803,25.3801,28.0598,29.3162
8.14619,6.23,4.75461,4.90035,4.47382,10.2403,8.15522,5.16777,5.06413,8.60285,13.107,15.8236,16.0429,15.627,15.4449,17.0852,12.1267,8.92191,6.75313,6.13844,10.6487,17.1958,21.8148,24.0857,26.3343,29.0375,30.8203,30.237,29.1635,28.3905,29.2275,33.5562,35.0355,33.0011,34.8418,40.8055,47.8574,53.8648,56.7901,56.3801,55.368,51.1653,46.9665,39.5256,37.0277,31.6686,28.36,25.4526,24.1402,26.6072,29.7152,31.0803
8.17327,5.96244,4.37802,3.94465,3.65101,11.1412,9.38448,5.04319,4.20622,6.60796,10.541,13.9115,14.6146,14.2666,14.3169,17.4485,14.0071,10.9144,8.14231,7.02917,11.2637,17.286,20.9769,22.6952,25.1125,28.4808,31.5414,32.4998,32.6457,32.8286,34.4526,38.6145,39.1762,36.6167,37.9338,43.3384,49.9807,56.7252,60.674,60.7006,60.1444,55.6089,51.1435,43.3795,40.1007,33.2847,29.0726,24.8032,22.5133,24.3386,27.0146,28.4081
9.17699,6.83103,5.27866,4.80542,4.15098,11.5494,9.31549,4.63419,3.43621,4.95252,8.91087,13.3269,15.0285,15.4023,15.9402,19.1113,15.5415,11.9724,8.40282,6.68143,10.2082,16.0468,20.1367,22.2572,25.5878,30.4901,34.6263,36.0226,36.095,35.5893,36.5306,39.9097,40.4584,38.7595,40.6979,47.0322,54.9783,62.7685,67.2656,67.4312,66.8672,61.6566,56.7939,48.8313,45.7097,40.1556,36.7113,34.4196,32.6052,34.4437,37.436,38.9562
11.3901,8.19671,5.93545,5.28274,4.45505,11.967,9.51144,4.78566,4.09208,5.7075,9.33865,13.7414,15.3543,15.5325,15.7485,18.3038,15.0762,11.8697,8.75308,7.32348,11.051,17.0209,21.2476,23.2101,26.4961,31.3599,35.187,36.5017,36.6283,36.1182,37.2727,40.8116,41.7849,40.6683,42.7564,48.5698,56.2763,64.2447,68.5919,68.6304,68.0929,63.2676,58.7828,51.9148,49.3848,44.5591,41.7637,39.4767,37.2183,39.0901,41.8705,43.473
9.54111,7.28637,5.5638,4.79731,3.9944,11.7086,8.98958,4.36976,3.42979,5.67266,10.201,14.6824,16.4068,16.773,16.9748,19.4168,15.5679,12.1402,8.84984,7.53138,11.8029,18.1538,22.4056,24.6106,28.1338,33.2208,37.3274,38.8918,39.1164,38.6005,39.832,43.4247,44.6492,43.5086,45.2825,50.6893,58.1878,66.167,70.0387,69.2868,68.5109,63.5436,58.4225,50.5842,47.3092,41.7878,38.5907,34.7709,31.9453,33.6294,36.168,37.7564
10.0261,7.29223,5.25374,4.35568,3.95752,12.0407,8.90805,4.24168,3.29127,4.18418,7.80787,12.6694,14.4386,14.8619,15.631,18.8438,15.1415,11.7935,8.23222,6.69099,10.1658,15.5534,19.3408,21.3346,24.9583,31.0872,36.5833,38.8662,39.3662,39.1315,40.596,44.0236,44.7307,42.919,44.842,50.5652,58.3699,67.1844,72.1752,72.16,71.9011,67.7716,62.9037,54.9367,52.0634,46.116,42.5243,38.0351,34.4839,36.2181,39.2545,40.8565
8.81041,7.02992,5.23065,4.29822,3.98188,14.5121,13.255,7.50797,5.72273,6.23177,9.20365,13.1076,13.9898,13.6358,13.7567,16.885,14.6239,12.4677,10.2273,8.85164,12.2402,17.1562,20.1342,21.2774,23.7212,28.6663,33.2849,35.1651,35.8329,36.3489,38.3706,41.7201,42.9913,42.0244,44.3396,50.1648,58.1556,67.1194,72.3362,72.3064,72.1581,69.1963,65.4553,58.9974,57.5579,52.8294,49.6439,47.1547,45.1692,47.8945,52.194,53.8415
9.23261,7.3802,5.58443,5.31855,4.88178,12.1003,9.81781,5.3935,4.8415,5.86746,8.96464,13.4252,15.0198,15.7095,16.5849,19.0887,15.9774,13.4021,11.114,10.0362,13.6444,18.9988,22.9032,24.7616,27.3771,32.3971,37.3908,39.911,41.2496,42.3984,44.7489,48.2313,49.4369,48.1405,49.7699,55.4018,63.3315,70.8445,74.9517,74.5157,73.6322,69.9999,66.25,59.1579,56.6762,50.3351,45.8009,42.2888,39.3398,41.0682,44.6279,46.1708
10.4653,7.99489,5.8538,4.81132,3.70125,9.55862,7.46869,4.12091,4.33932,6.94556,11.3715,16.5219,18.3713,18.4797,18.1804,19.5294,14.504,11.0812,8.9298,8.50522,13.1461,20.0305,25.6026,28.4522,31.313,35.9901,39.9996,41.1034,40.8969,40.8789,42.884,46.8034,48.6497,48.6205,51.6063,58.0036,66.4938,74.5266,79.1965,79.0393,78.4431,75.3615,71.2021,63.4025,60.7949,55.0936,51.5193,48.888,46.3146,48.626,52.5347,54.2155
10.1587,7.6536,5.32924,4.0824,3.14905,7.8912,5.38019,3.45024,3.92386,5.84747,10.2627,15.9,18,17.8546,17.3083,18.3953,12.6065,8.95478,7.3014,7.08029,11.7117,19.0531,25.391,28.7964,31.81,36.4401,40.172,40.7225,40.0208,39.7157,41.4822,45.4143,47.974,48.9188,52.6042,59.3707,67.2626,74.0916,77.569,76.2348,74.5397,70.5251,65.8758,58.464,55.7802,50.2041,46.7173,44.474,42.3158,44.5683,47.865,49.4936
8.26486,6.15836,4.64694,3.74169,3.20903,9.80153,7.36809,3.88275,4.57309,7.22971,11.162,15.5678,16.543,16.1779,15.8656,17.3672,12.3945,9.19195,7.66371,7.57051,12.3317,19.3006,25.1015,28.2274,30.8063,34.8353,38.2941,38.9243,38.3736,38.3269,40.2097,44.3429,47.1557,47.7328,51.3101,58.6537,66.8522,73.8817,77.9094,77.2217,76.1684,72.1409,67.0183,59.4782,56.91,51.8032,49.051,47.5342,46.221,48.5468,51.3264,52.993
9.76772,7.45057,5.35375,4.60916,3.68779,10.1637,7.26471,3.31573,3.11695,4.70112,8.67922,13.9444,15.7854,16.0788,16.3062,18.0286,12.6221,9.04286,6.76065,6.13478,10.1359,16.182,21.7034,25.076,28.182,32.7835,36.5875,37.365,36.6835,36.3038,37.535,41.3342,43.9372,44.6462,48.5937,56.2179,64.4922,71.4697,76.0237,76.3214,75.9143,72.4888,67.95,60.0549,56.9013,51.2027,47.9715,46.1378,44.7867,47.8555,51.1685,52.9582
7.03812,6.04412,4.8463,4.74666,3.95955,9.43148,6.51174,2.81536,2.58433,5.29775,9.8968,14.3913,15.9172,16.9182,17.8645,19.3235,12.3345,8.2046,5.91614,5.55339,10.1611,17.002,22.5267,26.3518,30.7015,35.7433,39.2767,39.4241,38.0077,37.1654,38.3545,42.2837,44.8082,45.4412,49.4436,57.3058,65.7039,72.9228,77.6197,77.6494,77.2771,73.8927,69.4477,61.1338,57.3326,51.3314,48.0296,45.6132,43.53,46.8031,50.0057,51.8601
6.9839,5.61953,4.29609,3.64779,3.24536,10.7577,9.5351,5.41809,4.32702,5.23404,8.81959,13.3731,14.648,14.9311,15.3177,16.996,12.9906,10.3797,8.87559,8.23433,12.1321,18.3045,22.9232,25.6731,28.9983,33.232,36.6356,37.8004,38.3034,39.4311,41.7538,46.0598,47.777,46.528,48.3361,54.359,61.6709,67.8708,71.8514,72.0363,71.4446,66.8076,61.7202,53.3951,48.9784,42.4934,38.6342,34.2677,31.1773,33.9419,37.0786,38.6748
9.70142,7.47603,5.6934,5.17111,4.86137,10.7095,8.67027,4.71632,3.69165,5.11937,10.0612,16.1895,18.4921,19.5284,20.4875,21.5566,15.672,12.0779,9.74653,8.59016,12.6235,18.9799,24.3935,28.8364,33.49,38.5717,42.7073,44.0519,44.1804,44.6795,46.3352,50.2184,51.4141,49.7076,51.2859,57.5087,65.2503,71.3814,74.9128,75.067,74.6159,69.4439,63.505,55.3705,51.1731,44.1688,39.9589,35.6145,32.045,34.0565,36.773,38.3814
