rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
24.7462,14.6956,12.0527,21.6231,20.7193,11.3877,21.9004,30.8816,29.433,30.1235,36.4062,41.2258,38.8584,42.2231,43.7907,20.9983,16.3933,16.5609,19.439,30.1536,44.1432,47.4968,51.238,50.2652,59.6978,58.3675,61.4903,58.5209,58.2786,60.8764,64.1452,62.4146,69.3586,69.4261,67.7242,77.5315,80.6523,75.7745,79.6941,76.6863,69.9281,73.997,82.1437,73.1964,74.887,70.4591,65.3966,67.2418,66.3872
23.6185,14.5619,11.7648,21.1525,20.3745,11.1493,22.3275,30.7967,29.2392,29.8661,36.2602,40.4534,37.9667,41.4632,43.3802,19.9311,15.8306,16.1086,18.8721,29.0262,43.3539,47.4341,50.7359,50.1088,58.1231,56.6219,60.7841,57.1319,57.6575,58.8625,62.6483,61.761,69.0575,68.6485,66.9293,77.1443,79.7427,74.4274,78.4385,75.15,68.3748,72.8261,81.7126,71.4311,74.2209,69.4302,64.2151,65.5887,64.2725
26.1324,16.3908,13.1049,23.1646,22.1391,11.6919,23.422,31.9485,31.0492,32.2805,39.4207,43.2517,41.9952,45.896,47.948,22.5697,17.9188,18.1703,21.6306,32.2483,46.9613,51.8056,54.8837,54.4837,62.8176,62.4298,66.616,62.7934,62.4839,63.3685,66.4393,64.4875,73.9489,72.1839,70.7,80.8057,84.0002,79.1108,83.0446,77.8408,71.5295,76.4168,86.5678,74.6574,75.6397,72.6575,67.4705,68.7483,67.9165
28.1281,19.1584,15.9179,22.6378,21.7195,11.4885,22.2041,30.9018,30.6013,32.6026,40.0498,44.4018,44.0013,48.5145,49.3584,22.561,17.4473,17.8481,21.4748,32.4933,47.8845,51.6444,55.8435,55.5026,64.1567,64.4759,68.4157,63.561,62.7311,64.4572,66.5767,65.6418,76.0858,72.05,71.352,82.1652,85.1174,79.9632,84.2389,78.7344,72.457,78.1499,86.5352,76.8596,77.5663,73.2884,68.7119,71.4659,67.7857
29.7451,20.6079,17.7632,24.3915,22.2738,11.7258,21.9391,30.2783,30.0313,32.0418,40.5409,44.8295,46.0095,50.9965,51.4171,23.12,17.7241,18.0322,21.4835,32.5439,48.1143,52.4047,57.6053,57.0289,65.0154,66.5723,69.4871,64.6353,63.9405,66.1644,67.6639,65.9125,78.241,72.6254,74.4881,85.0665,88.1243,77.7922,87.8119,80.8203,73.7757,77.4448,89.6137,78.8199,77.8708,73.1559,70.4238,73.0625,67.1939
29.7451,20.6079,17.7632,24.3915,22.2738,11.7258,21.9391,30.2783,30.0313,32.0418,40.5409,44.8295,46.0095,50.9965,51.4171,23.12,17.7241,18.0322,21.4835,32.5439,48.1143,52.4047,57.6053,57.0289,65.0154,66.5723,69.4871,64.6353,63.9405,66.1644,67.6639,65.9125,78.241,72.6254,74.4881,85.0665,88.1243,77.7922,87.8119,80.8203,73.7757,77.4448,89.6137,78.8199,77.8708,73.1559,70.4238,73.0625,67.1939
28.9075,19.783,17.9664,24.3269,22.2764,11.7252,23.2234,32.0905,31.7619,34.3803,42.4736,46.9625,48.2429,52.6076,52.4511,23.7079,17.9722,18.4668,22.3916,34.4219,50.6455,54.197,60.3508,59.1093,67.4557,70.6294,72.7993,67.2686,67.6365,69.7207,70.5205,69.1783,82.7885,76.3609,79.1535,89.9697,90.9018,82.8014,91.2601,85.6138,76.9401,81.9951,94.4263,82.3246,82.483,76.2342,74.1713,78.2729,71.1987
29.0164,21.3179,18.085,23.6377,21.3232,11.5624,24.3499,33.2013,33.5036,35.6389,44.4664,47.9845,49.6917,51.7865,53.6998,22.7774,17.3385,18.6907,22.4264,34.8575,52.0304,56.7121,62.2169,61.0815,69.3603,74.3366,75.0006,68.8977,69.8108,71.5715,73.8676,73.3102,86.3618,78.587,83.151,96.7859,98.6326,89.5841,98.5463,93.0386,83.9383,88.4725,103.337,89.4185,87.8725,83.364,81.4922,85.084,76.3574
27.7161,21.0692,16.6853,22.2683,20.236,10.7612,23.091,31.4406,31.7605,36.6314,45.8286,47.9976,49.1377,50.8542,51.6346,22.1762,16.53,17.7833,21.5156,34.3987,50.5836,54.097,60.5114,59.185,68.3477,73.2758,73.5804,67.9472,67.1408,68.621,70.2854,69.8084,84.3316,76.4734,79.8971,94.5037,97.3725,88.1075,96.7278,90.4086,82.5309,86.6033,101.351,88.8035,86.7066,80.5751,79.0579,83.8457,74.4609
32.423,28.0876,23.5197,23.2955,20.4577,11.1164,22.7847,30.5257,33.7864,37.4405,45.2592,50.2983,52.7428,54.3417,56.8996,24.9556,17.5556,18.4299,22.3568,35.7915,51.7316,55.0155,62.477,60.38,71.3133,77.8805,76.0221,72.6487,70.0718,70.3731,73.8045,72.1539,86.1656,80.0009,80.7414,99.1301,100.488,92.2284,97.1347,92.2659,85.2637,90.7255,103.441,91.491,89.4122,83.7469,79.9759,84.7202,77.5082
