ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
94.8241,0.731807,0.350688,0.211349,51.298,5.99075,0.985264,1.78959, 127.168,54.6628,31.7561,0.168611,113.651,5.23168,28.9566,-573.668
97.5031,0.705962,0.350663,0.208128,49.7481,6.01734,0.985068,1.8674, 137.334,62.7973,32.9098,0.167637,110.769,5.28069,30.9057,-571.535
93.5394,0.708617,0.347768,0.205056,48.2174,6.0117,0.984959,1.88005, 138.1,62.9955,32.4831,0.165847,112.282,5.78993,29.869,-568.244
91.7356,0.717239,0.343303,0.20452,47.2019,5.86196,0.984908,1.88262, 136.557,61.109,32.3149,0.164347,111.876,5.45099,29.4991,-569.341
87.9273,0.750232,0.339781,0.203858,46.1592,5.18899,0.984988,1.9734, 132.227,54.9431,31.938,0.163092,107.903,5.49215,29.7091,-567.578
85.5664,0.752557,0.337344,0.200716,43.6172,4.92636,0.984957,1.98051, 135.072,56.0242,31.9833,0.161418,110.792,5.87796,29.4466,-565.527
80.2023,0.767491,0.328918,0.197626,40.468,4.19348,0.984798,1.94087, 132.828,53.2621,31.2864,0.157963,117.081,6.01791,27.361,-565.978
88.5664,0.764484,0.338429,0.201613,43.9627,4.2418,0.984737,2.0304, 137.881,55.4603,33.0942,0.162013,106.113,5.64549,31.0388,-567.985
85.146,0.778883,0.336798,0.20144,44.3283,4.4722,0.984569,1.9917, 132.911,51.595,32.2203,0.161471,108.013,5.62219,28.9,-565.653
83.0165,0.781983,0.332793,0.202138,44.4335,4.79169,0.984522,1.97368, 128.198,49.2813,31.4311,0.160479,113.294,5.65978,26.6561,-566.2
78.3996,0.757563,0.33228,0.193843,39.5036,4.4919,0.984191,2.01748, 137.756,56.9807,31.1564,0.157837,119.633,6.04998,25.4942,-563.445
80.5024,0.751854,0.340847,0.193915,40.1264,4.38715,0.98393,2.02497, 141.291,59.3415,31.6045,0.160429,118.636,6.06441,26.4965,-562.964
82.634,0.775128,0.34534,0.199522,43.8029,4.77412,0.984246,1.92305, 132.881,52.4414,31.4105,0.163458,114.943,5.74389,27.2147,-563.398
82.7933,0.767936,0.346758,0.198447,43.8429,4.98252,0.984069,1.87876, 135.38,54.5141,31.5457,0.163562,112.993,5.70533,27.5964,-563.575
80.1853,0.789703,0.33831,0.199634,43.7381,5.07277,0.984201,1.92687, 128.718,48.9556,30.9615,0.161383,117.784,5.69393,26.3981,-560.609
78.622,0.792938,0.337656,0.198573,43.0575,4.93904,0.984267,1.94729, 128.307,48.507,30.7024,0.160869,119.362,5.75651,25.8796,-561.315
