rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
16829.4,2226.38,1704.04,5095.86,4769.63,11905.1,25886.7,4954.23,11885.2,6008.64,1095.77,4276.6,826.93,1590.91,16930,15628.5,3519.98,1736.3,2474.33,8614.18,6563.87,9844.68,3090.35,9243.33,6978.99,768.679,575.899,881.561,30043.3,4379.45,4915.79,3275.4,6980.79,2859.92,11635.7,6144.39,3422.65,2385.69,3746.68,1187.59,634.382,382.824,1371.67,5639.52,938.524,326.913,87.2686,825.796,70.7752,377.059,3733.26,2469.06,2448.83,1651.9,2422.04,4099.93,1250.74
16926.3,2227.02,1493.36,5658.34,3810.54,12279.5,28155.2,2769.07,13067.2,5109.52,1727.11,3499.99,1050.32,1551.39,16574.3,14416.7,5995.97,999.843,2559.18,7941.24,7263.36,11201.5,2812.12,6602.1,7590.09,902.118,636.414,1293.63,28775,4917.98,5767.82,2024.91,6504.49,3731.42,11752.1,6334.77,2755.4,2564.73,3848.27,960.356,987.037,361.937,1246.46,5433.26,1401.02,284.488,96.5113,737.989,69.0223,403.983,4620.79,2226.51,2345.08,1237.95,3575.82,3156.93,1260.75
16956.7,1944.61,1567.91,4709.57,5000.73,11054.8,27666.8,3144.19,12688.3,5320.98,1688.8,4184.9,829.584,1722.07,16070.8,17436.3,5202.21,770.679,2377.98,8830.58,5281.29,11502.8,2696.58,7655.41,6039.8,1509.96,641.453,1049.41,27411.7,5234.63,7065.93,1599.74,6335.7,4152.98,11819.2,6276.05,3199.02,2131.54,3980.63,1117.57,830.6,368.796,849.21,5443.66,1229.17,336.641,85.4456,1143.91,76.8356,412.216,4367.43,2063.76,2486.94,1942.63,2542.97,4452.41,1254.13
15445.6,3714.99,1780.48,4609.14,4175.31,12847.3,22780.2,5016.89,14226.6,2256.89,2439.38,3786.62,1211.55,1986.33,18060.3,13993.3,8681.92,943.87,1588.15,7165.11,5666.34,11168.6,3361.71,4306.36,7942.52,2644.91,569.927,890.476,24305.7,7633.55,7547.14,2595.05,5330.33,3971.38,12134.5,6195.26,3362.33,2252.49,3783.52,1185.28,878.449,123.974,1260.51,5965.57,1445.06,403.488,68.9642,604.099,48.4307,701.767,4215.47,3698.44,1547.61,1556.01,1794.93,7628.16,640.298
16978.6,2394.22,1665.57,4735.26,4884.68,15252.4,16428,8493.79,15325.8,1343.71,3071.29,4403.66,561.122,3323.52,17364,18931.3,3670,1113.64,2456.74,7085.27,5675.49,10025.4,4284.16,4602.3,6127.41,2955.03,828.396,681.156,24508.2,8238.6,9643.19,2249.57,4826.69,3385.77,11496.5,8180.78,3266.21,2276.41,3622.59,948.889,1129.42,160.426,1285.99,6144.95,1928.94,445.074,85.4896,702.295,31.3614,758.65,4816.3,4247.97,1502.47,2374.18,1225.74,6747.76,302.064
16853,2672.69,1941.15,5741.35,4007.81,14912.5,18323.1,3253.1,19849,1208.68,2453.61,4453.53,716.561,3498.13,17299.5,18232.4,3125.08,944.307,1918.48,7447.51,9359.63,8529.45,6566.52,3108.75,6339.92,3074.95,1156.66,1087.21,23643.2,8992.79,6004.57,4117.82,5884.41,3160.97,11546.5,7008.1,3829.94,2118.75,2721.22,1967.43,959.119,191.324,839.089,5782.34,1916.43,490.316,77.7354,655.884,31.4871,588.986,7674.31,2589.08,830.543,1839.39,1526.05,9147.11,458.013
17021.7,4699.78,1441.27,3337.47,4335.67,20372.6,15331.2,2765.72,18214.9,1983.98,3130.84,3964.97,1040.02,2408.67,18658.7,13420.4,5891.7,682.506,3430.39,6434.79,8401.47,9902.95,3859.67,3777.03,7748.08,1779.32,958.87,1054.88,26258.3,5433.06,6027.92,5345.59,5014.2,3484.13,11472,7291.24,4085.09,1618.42,3466.3,1784.95,763.941,180.11,1273.88,5875.5,1663.8,681.525,80.683,454.204,22.8498,689.489,6613.71,2230.23,1079.28,1568.61,1675.87,11404.5,682.688
16909.4,5020.77,1196.7,2465.26,5851.39,17812.5,20957.5,2321.73,12583.6,5291.69,1320.18,4604.61,656.796,2691,18332.2,13366.7,4129.5,1622.33,2790.97,7749.98,6416.17,9827.45,4259.88,4005.71,8020.31,1382.4,1618.86,1569.76,25340.4,4643.28,6264.09,7624.92,3274.69,4430.17,12040.4,5776.65,4233.11,1758.02,5410.55,1606.02,336.326,149.796,686.289,5723.68,1859.08,763.839,126.444,469.281,21.524,617.399,5047.83,3073.09,737.644,3502.47,1617.55,9935.64,672.085
18172.1,4618.37,1651.08,1545.92,5316.48,15591.4,24300.7,2168.91,13775.2,3587.73,1157.36,4484.04,1123.14,2520.07,16070.7,13004.1,4637.84,2223.7,2509.13,10244.3,4354.72,10194.5,4526.56,4870.65,7523.41,1410.27,1789.36,930.477,24634.6,4985.1,7368.93,3107.3,4617.05,6414.93,11430.6,5784.42,4905.62,2040.49,4541.12,1823.44,418.349,122.127,1011.23,5993.16,853.92,696.348,103.647,516.429,28.3928,835.418,4525.13,1951.02,1464.15,3123.66,2128.66,5759.81,2245.34
18042.2,3045.74,2513.82,945.034,7118.87,12816.9,26230.4,2058.88,13559.3,3797.05,903.792,5058.1,706.407,4261.27,13793.6,16743.7,3204.23,2747.11,3318.09,7702.36,5854.26,10758.1,3398.98,5076.49,7595.05,1400.84,1683.85,959.302,21741.4,7649.07,8931.44,2572.85,6156.48,5249.1,11384.8,5271.4,5679.77,1603.52,4594.6,1675.24,491.681,125.739,1319.01,6579.22,538.835,1025.89,147.396,733.43,30.271,531.828,4503.61,3569.02,1193.04,2216.2,1523.38,12292.4,606.07
19719.1,1452.91,2094.31,736.219,9792.81,9762.32,28514.4,3349.73,12655.6,2694.26,1532.98,4104.15,766.541,3963.96,15216.2,14292,5930.75,1591.68,4691.09,5988.33,4681.03,11960,3630.28,5147.7,7519.57,756.616,1284.01,2637.39,22924.6,4836.57,8048.17,4665.4,6664.07,3652.73,11649.8,5938.86,4327.78,1923.21,3641.9,1786.97,605.922,174.064,974.06,6999.82,429.138,1187.16,206.543,705.619,46.9382,410.79,7160.73,2049.73,1017.01,1453.04,2364.24,11118.5,662.856
16573.4,2062.48,2220.84,992.459,8488.71,11845,22551,3066.17,15604.4,1465.04,1191.27,5053.03,617.158,4694.31,16670.5,14922.5,2839.95,1784.6,3843.51,6384.1,4896.07,12998.2,3506.95,4738.67,6816.87,1525.65,1301.42,2900.83,22433.8,5954.3,8312.09,4885.61,5279.09,3392.6,12488.8,6397.63,2937.81,1985.16,4659.82,1259.25,1043.5,128.441,709.503,8696.8,311.154,762.463,161.552,693.463,25.4762,434.069,5130.6,4101.09,874.685,786.75,2994.56,7354.23,1736.95
16203.9,2712.98,1533.11,742.743,9966.44,15156.9,19888.6,2008.76,17513.4,851.413,1733.54,4523.79,867.202,3831.55,16783.5,13318.1,2618.61,2133.56,2960.63,8244.04,5114.07,10958.5,5400.98,4370.65,7902.17,882.636,1311.62,4304.99,21722.6,6203.6,7778.92,6620.28,2716.91,5857.92,12297.1,6310.26,3180.57,1664.88,4832.95,1209.93,679.271,233.293,1073.12,7048.94,588.199,677.658,230.538,754.597,18.3349,485.629,5816.85,3531.24,544.507,1002.37,4007.18,5094.15,1670.34
18037.8,2163.62,1213.92,786.482,8802.48,17163.8,21851.8,2951.55,12221.3,1322.68,2399.72,4486.96,1006.02,5304.62,15658.4,12935.6,3035.52,2436.75,2074.12,9876.11,5297.88,11138.6,4359.29,4589.7,8521.01,644.162,1470.11,4311.08,22448,8801.4,5995.72,3466.32,3214.89,5728.53,12322.4,6794.65,3084.25,1569.25,3850.87,1828.19,823.923,159.239,744.698,8453.34,288.701,1032.78,318.145,339.924,25.7642,592.894,7384.29,3288.84,572.711,859.56,5414.81,7007.55,1170.66
18679.1,1675.65,753.578,879.565,9619.29,20167.3,17054.7,3343.15,14684.5,1396.27,1165.64,3442.87,2134.37,3372.51,17778.7,12071.7,3957.09,1111.83,5445.15,7208.98,3433.2,10060.7,5135.61,8613.2,5813.09,1326.99,1213.54,3442.95,22593,6707.05,8185.26,2838.15,3767.23,5446.75,13292.6,5470.36,3413.7,1506.27,3748.81,1568.91,709.082,218.514,802.965,7925.23,394.699,558.578,466.628,203.24,19.0913,492.338,6653.3,2727.42,801.046,576.687,5277.44,10016.3,3810.6
19389.2,2139.57,784.623,687.549,11040.8,17514.9,22378.6,2300.44,13775.7,2416.54,562.48,2593.48,1416.96,4114.82,19547.6,9238.39,2782.22,4879.97,3475.34,7735.69,5043.41,8328.83,8015.2,6623.86,6365.87,1649.74,623.439,2217.56,26262.5,5020.91,5884.83,3228.92,2416.61,7669.45,12882,6916.76,3097.54,2224.2,3076.79,1370.54,1037.88,400.73,680.48,7674.06,805.062,611.902,406.403,194.867,13.4313,679.182,8687.18,3095.58,1008.32,533.806,4575.25,6137.92,5238.83
18245.9,3400.52,869.691,431.955,8978.24,17236.6,25391.4,3851.66,10735.9,3544.77,368.607,4011.75,1430.41,2319.53,20078.7,9617.11,3658.65,4891.98,3979.23,7335.56,4830.14,8128.2,6334.08,5609.65,7209.12,1175.42,929.118,4004.75,24933.8,4264.75,7945.41,2254.63,3013.54,6746.18,13291.8,5690.92,3678.12,1584.7,3170.55,1617.76,908.067,142.319,710.801,7840.58,695.323,437.401,419.852,188.08,17.6001,925.099,9476.2,1687.38,2863.76,518.731,3481.36,9533.05,5013.73
17364.5,2990.88,2045.28,540.981,6962.09,16767.7,25613,2179.37,13354.6,5207.47,278.759,4290.58,807.943,2790.74,21297.6,9399.51,3929.35,5517.94,1630.13,8036.39,5847.34,8712.74,4540.53,5649.74,8264.53,1057.64,587.902,3649.94,26113.6,3732.19,6996.85,2313.5,3435.75,6781.88,12930.1,6284.12,4089.46,1661.68,3697.47,1318.34,905.422,112.909,1058.81,7024.55,1019.72,485.153,422.969,167.39,18.0944,902.941,8947.15,2087.65,2324.68,680.991,3051.29,9068.86,6218.41
17250.3,3196.12,2099.11,520.702,8318.86,12555.8,27421.3,2956.43,12621.4,4552.52,409.226,3177.04,1261.34,3876.25,19622.9,10102.6,5259.2,2422.08,2115.84,6292.59,6435.63,9387.36,5332.34,5819.04,7251.54,1962.98,319.739,4349.26,26343.5,3024.35,7941.46,2783,4543.91,4094.95,12815.7,6305.54,4545.69,1329.55,3526.56,1615.83,972.088,129.403,1028.55,7035.78,1190.76,883.037,333.946,161.123,18.9948,636.059,9143.82,2373.58,1607.25,620.314,2571.5,12276.3,1925.44
15880.5,4622.7,1270.42,646.962,7744.32,12092.8,29137.1,2968.36,12144.7,3767.54,359.874,4032.99,1034,3733.75,18716.4,11533.3,3470.3,2342.24,1362.46,9216.02,6076.03,10224.8,4561.71,5427.86,7469,1855.66,319.155,2701.66,27551,4124.64,4267.09,2461.07,6043.79,4901.34,12895.2,6529.34,3955.37,1315.9,3241.71,2879.16,793.691,206.608,752.176,6491.53,2164.25,499.808,301.838,276.108,19.5844,667.837,10099.9,1848.32,2391.44,502.012,4201.82,6897.27,3003.87
15771.5,5717.51,708.018,1194.92,9429.07,9327.94,28419.1,4853.22,13410.2,1419.87,772.467,4482.15,991.119,2938.3,20726,13614.4,1668.62,2624.56,2790.01,6937.45,6741.44,8975.87,6058.69,6345.11,6187.95,1251.3,337.508,2395.06,28905.5,2641.29,6250.74,2323.22,4523.69,4843.6,13084.8,6378.36,4315.07,1014.76,3819.71,1612.81,585.519,312.884,748.395,5663.93,2079.44,591.92,308.262,435.238,14.4488,571.885,8673.91,3375.19,1619.53,432.049,7389.05,4558.5,5955.54
15955.6,4484.43,608.658,1290.5,7453.89,9927.18,25192.9,9027.79,12237.8,2862.1,684.585,4921.99,1382.91,2505.65,21449.6,12494.1,2158.22,3802.11,3608.73,6405,4402.05,9346.96,6781.4,6538.82,6100.4,1153.2,168.317,3433.21,28812.5,2462.19,7046.49,2527.6,3738.7,4596.3,13890.9,4601.06,3735.71,1312.22,3718.35,2061.31,469.658,261.563,327.654,6080.65,2521.71,563.302,163.301,323.797,31.0603,445.465,7949.41,3336.27,1693.9,471.271,4899.57,4991.46,9775.92
