rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
4901.46,3535.41,3987.16,6818.77,9960.03,15309.3,11217.6,6404.76,3727.06,5832.37,1693.57,2306.16,2150.63,5429.3,21229.4,9451.76,6028.89,2567.18,2558.12,4306.62,4190.48,4775.22,5385.41,2855.7,6789.6,2695.65,1681,6700.53,22870.7,4195.47,1420.47,5603.76,5780.65,2292.42,6182.33,1359.38,1256.34,1254.3,1082.51,1788.31,1307.27,657.233,518.302,310.436,5136.44,1454.66,1683.66,398.911,1660.98,1935.37,5114.21,1783.59,3268.65,3294.38,2678.99,5914.18
2349.23,5930.91,3857.02,8089.43,7883.43,19015.5,10761.9,7099.57,6119.64,4573.45,735.776,2525.63,3315.13,2407.07,32413,6471.91,3944.7,2779.79,7344.45,6906.6,1671.48,6894.22,9784.69,2551,10263.5,1898.62,1237.92,4544.92,21941.7,13166.4,1726.71,3256.19,6644.59,1582.77,6928.19,1088.34,1263.44,1353.88,869.979,1170.63,1610.02,691.432,319.001,881.109,3772.03,1730.34,1073.3,448.442,1299.08,1162.94,7420.61,3293,1872.18,2992.95,3417.46,1157.2
5269.14,5860.14,7579.57,7969.68,10308,25045.6,7938.35,7243.57,4976.93,5318.76,941.334,2704.31,1845.19,5001.88,26993.6,7697.66,3430.83,7179.17,4338.92,9853.09,1419.02,7562.5,7487.21,5805.41,11412.6,1738.41,1463.93,4870.8,23182.8,3860.74,8208.65,1980.96,13205.8,1788.07,3504.75,2317.19,1581.51,1696.48,604.355,856.638,2029.87,1104.41,327.719,1371.71,4575.53,2232.6,527.272,388.718,1130.86,1598.75,7064.94,4091.07,2728.4,2805.32,3463.97,1026.76
3985.56,4089,4900.68,7105.53,4610.43,14450,12192.8,4992.7,8421.95,2799.93,1519.87,2557.43,1865.66,5057.01,21419.8,5873.03,3938.91,5091.95,5023.05,5972.28,1417.75,7924.81,3506.25,4748.3,6859.14,1075.94,1906.66,1532.64,18197.9,8588.75,4112.99,499.24,7446.73,4907.4,4580.22,1077.43,1689.09,1783.42,2201.18,1060.63,1534.01,869.48,321.532,1307.82,3752.01,1365.85,608.818,268.499,1845.83,1039.82,4092.76,4413.6,2119.78,1833.07,3478.36,1396.59
3463.27,3133.23,6940.86,4104.68,4931.69,14616.2,18390.7,5924.97,4760.35,3098.03,1916.84,3043.19,1560.79,1941.37,27995.3,2042.43,8129.21,3939.04,5065.05,7345.48,1809.15,8995.89,2306.3,6800.02,7617.78,1011.2,5325.44,1146.63,17455,4466.84,8014.03,1029.28,7912.25,8268.04,2860.51,3264.34,3359.34,1110.45,2073.26,1030.34,2967.49,900.33,577.973,1660.9,3100.38,1378.91,761.334,431.117,769.6,1441.84,3720.52,2366.86,2190.97,1173.16,1347.98,3814.61
2523.33,5599.81,3579.31,2548.21,8060.68,26680.3,7532.78,2005.23,4283.37,4887.3,2334.36,2250.75,1601.45,1741.31,23943.7,1249.15,7998.81,5200.21,4154.82,8157.44,2750.6,9488.37,3481.97,4328.41,4558.64,572.587,2374.2,597.138,19720.9,7901.81,7336.03,875.1,6354.72,9076.09,3711.61,1694.02,1241.13,1638.32,1364.67,921.587,2757.94,613.162,248.342,529.7,2379.77,815.52,702.045,462.087,777.045,1416.13,4376.46,1176.81,1367.73,1122.65,553.46,2570.41
1246.02,4087.38,5430.05,5490.98,4555.67,14605.2,19942.6,2533.65,3085.66,4604,4147.9,2225.82,1154.81,1885.51,21220.4,4616.23,8028.99,3776.09,4997.74,11017.5,1195.43,5694.71,4477.6,3863.14,4974.28,1148.31,2583.1,689.434,21084.2,11304.1,2443.27,798.059,6520.18,6195.24,3768.7,2603.91,2179.7,927.105,2250.06,1021.43,1964.02,497.246,383.014,750.478,2011.32,1108.16,508.439,757.566,1254.9,1421.1,2369.1,1077.63,1348.61,2482.84,3053.77,1998
1502.45,5773.38,2968.83,2699.09,5116.68,13440.8,18716.1,2194.18,2178.85,4465.85,3393.68,1838.9,1543.46,2705.71,17614,2109.86,4060.1,3519.99,6769.67,5595.76,2198.32,7686.22,4437.11,2302.88,3914.98,2827.79,2287.44,991.898,22028.7,9083.8,453.878,2396.52,2927.09,9231.17,3064.54,944.059,1868.65,1083.89,1650.51,563.775,1893.44,838.495,262.949,993.695,2015.17,700.489,952.624,1082.21,1331.5,1348,3004.86,1109.09,2989.05,2483.57,1474.07,3226.95
4868.04,5208.51,2408.68,1509.32,2133.64,18967.7,13845.3,2891.84,4624.36,2152.47,3467.57,2247.77,1128.28,3011.99,23158.3,740.537,2794.15,6544.93,3911.91,7671.4,2194.48,4467.62,5660.72,2809.61,2742.69,2140.96,3133.64,1032,22060.8,7124.88,522.674,4274.69,3360.94,4541.12,4955.69,1031.39,1782.12,657.836,880.59,619.5,1799.31,863.569,238.266,860.601,2418.96,367.655,465.694,1347.19,1213.61,1013.47,2127.37,1307.68,2547.76,887.943,1518.62,2477.69
3416.24,4595.44,2051.05,1299.39,3517.87,18286.9,5929.71,7331.37,7768.32,2847.54,2428.12,3565.91,1151.35,3432.52,22260.9,1057.42,4343.46,4771.52,1907.49,4851.13,3317.18,6972.8,3702.9,1711.97,2458.93,1993.68,1033.84,620.518,24094.6,2676.53,921.568,4236.83,4547.93,4088.01,4897.74,1063.66,1827.34,788.636,1809.74,457.866,597.367,1217.39,190.162,536.594,866.932,600.937,313.323,739.476,1320.45,341.842,1318.62,769.326,1554.85,486.155,623.141,1804.5
5450.01,2915.46,1844.43,1720.4,10937.5,11800.6,10749.2,15223.1,4432.14,4608.02,3906.28,1547.51,1292.46,1374.83,25330.5,3673.66,4129.99,3759.15,3143.52,4748.63,4180.83,11920.5,2268.93,2723.43,1935.31,1175.72,3420.85,557.475,30626.5,2423.16,1444.78,4080.81,2933.76,4352.77,4023.41,1199.63,1073.39,2348.53,1757.22,284.508,1280,831.697,310.205,642.622,1324.6,1142.3,345.664,863.219,1071.39,575.502,2266.77,1199.2,1481.17,952.404,1504.62,1959.35
4590.59,3903.95,2207.1,2482.43,4669.1,30072.8,4231.93,6714.6,7301.07,3524.28,5479.12,2193.55,4001.77,1084.46,28539.2,1981.04,8676.7,2516.25,4813.65,5311.51,6710.47,8700.83,3666.69,2451.62,3177.79,1426.05,4580.43,903.831,23453.4,4682.48,1491.17,5080.45,2019.06,8931.11,2539.8,1669.52,1236.61,1650.88,701.106,316.671,1331.23,1817.97,658.078,795.808,1378.83,647.522,336.381,1259.86,653.316,863.397,2172.68,1467.98,995.327,1163.11,993.864,1854.73
4125.45,2940.23,5830.62,2700.31,4225.72,23841.9,6661.47,11060.4,4519.55,1807.22,5723.87,2601.37,2992.5,1766.53,20108,13134.4,6562.72,2963.87,2822.93,6894.61,2977.25,8362.26,5208.88,3919.33,4312.71,729.945,4592.9,2056.63,22742.3,2253.58,4027.37,5947.04,1950.23,9228.9,2081.54,1328.05,1145,1537.09,1010.06,223.499,1965.58,1109.88,319.668,1144.68,1401.33,610.198,624.007,1481.57,562.066,862.111,1552.7,991.384,1602.9,1161.1,989.527,791.442
4164.28,4682.55,2667.33,4255.16,2340.06,27396.6,11188.5,4187.94,1989.84,1958.68,6447.02,3018.04,963.378,1294.08,24798.9,6351.03,5893.91,1913.31,3393.62,8080.69,2260.32,8148.7,3533.14,5455.57,4010.96,671.144,2969.96,3916.65,20188.5,1905.21,6467.72,5519.62,4048.65,4329.5,1160.91,3042.34,875.809,1656,820.551,306.254,1474.54,1574.85,550.524,792.834,1115.94,332.559,603.992,1097.12,439.045,733.477,2002.11,967.177,999.031,1235.75,1004.06,1001.84
6620.8,3674.16,4905.24,2529.99,2215,35128.6,7936.45,5678.86,4920.46,2174.98,4432.94,4342.62,743.075,1931.36,28865.3,3778.42,10167.2,1070.67,5520.3,8260.63,3255.57,9523.8,3958.54,5589.2,3740.57,451.953,3040.46,2944.98,24850.9,1907.46,8351.18,6059.86,6576.88,3182.16,1198.6,3383.55,1055.95,1882.19,1079.65,278.417,2245.66,1135.5,563.341,1093.79,1587.34,347.689,718.126,934.544,803.953,807.027,1740.9,1352.13,986.595,1277.12,870.05,1354.54
4101.21,2409.88,1407.86,4219.44,1299.23,15532.7,23570.2,2627.6,2556.07,1715.37,2295.1,1459.16,2072.64,1649.86,20759.4,3228.72,9274.11,3601.22,3263.82,8026.62,3923.61,4732.04,5363.17,2797.07,3057.92,450.645,1538.7,1578.66,31289.9,2043.08,2614.9,3395.45,7303.69,4121.05,1026.73,2550.39,1392.86,961.127,1485.77,395.292,1886.73,1251.19,523.345,1158.65,1320.04,319.347,320.023,760.152,642.555,1209.32,2125.07,825.046,1887.59,839.456,557.109,1345.77
3793.97,2446.97,1450.54,3785.96,3026.37,9888.87,20826.5,4416.95,2810.85,4514.8,2865.55,906.68,2068.97,3795.55,16388.5,4961.91,6545.59,3426.12,4091.16,5096.69,2303.56,7690.88,5910.26,3587.33,1990.21,369.271,1287.59,2385.38,19292.8,2886.92,3695.15,5350.57,9554.21,3054.36,1168.74,1557.63,1253,520.673,1500.48,329.288,1320.71,2721.52,581.813,1277.42,2300.23,507.113,463.389,825.612,641.287,597.492,1904.41,1846.86,1918.4,907.695,1284.2,3380.14
4133.75,4376.12,2195.23,6114.01,2169.81,14359.7,23972.8,2900.46,7199.6,3472.79,2665.25,594.946,2154.01,2318.25,24334.6,7895.67,6724.82,3582.61,5711.98,8610.12,2415.23,9282.47,4110.84,4318.64,2990.64,568.19,1964.16,4062.88,25525.2,6526.4,3896.26,1569.47,12608.3,3346.48,877.905,2800.32,965.9,894.735,1246.66,426.75,1368.88,2385.18,261.368,1114.29,1535.22,1173.29,585.506,449.83,569.059,201.868,1811.55,2693.02,706.954,795.178,585.39,1618.66
4356.05,6543.51,2786.2,3653.65,1992.69,11136.7,16955.6,3354.95,9613.06,3622.94,2093.06,711.433,3688.49,2044.77,19422.7,4000.65,4244.95,3952.18,5693.36,5702.05,3650.41,4904.75,5133.96,6924.07,2386.54,813.267,1094.7,4389.19,21966.8,3333.76,2304.02,2335.58,11483.5,2045.54,2271.71,2058.76,357.431,768.047,1242.07,307.973,1375.57,1744.62,154.466,839.445,1660.65,1016.27,1006.67,782.047,521.784,399.418,779.071,1864.92,770.958,322.684,716.792,2272.05
5527.34,5846.13,3037.14,1070.01,3138.15,19882.4,24331.2,4824.44,1750.12,4884.98,1751.25,1054.09,3212.71,1661.46,21226.7,7301.03,8799.63,6868.79,2664.97,9138.69,3111.55,5301.04,6995.41,4942.99,3188,521.241,793.859,3738.95,21310.1,6922.89,3604.23,1612.14,11701.6,2268.83,5272.99,1018.34,459.784,1322.63,1429.98,359.32,1573.32,1638.8,217.562,1420.27,1965.03,1596.87,683.343,525.421,777.234,316.447,1151.15,832.123,1378.12,155.344,984.098,2248.5
4158.1,8164.46,4542.38,1296.77,4730.01,15297.9,21805.5,3362.83,3909.09,3666.1,818.01,1463.22,5152.48,3276.43,24142.8,4336.95,7118.49,3294.2,4517.42,5820.41,1848.55,8456,4074.36,3360.34,6627.95,652.53,1265.11,2365.71,18917,4069.45,7637.19,1933.15,11637.4,1989.94,1310.98,1869.75,512.438,1468.61,469.22,402.022,1866.9,1303.55,418.415,1522.21,1715.73,1030.19,598.314,815.807,542.562,804.574,1407.49,467.263,996.219,650.419,688.182,3455.37
